Id,SalePrice
1461,114762
1462,140733
1463,170617
1464,194293
1465,204869
1466,171435
1467,180421
1468,161489
1469,195083
1470,121316
1471,165426
1472,100292
1473,95538
1474,140070
1475,110185
1476,350930
1477,250926
1478,302305
1479,321458
1480,491438
1481,324691
1482,210462
1483,169306
1484,166928
1485,193991
1486,188330
1487,353395
1488,228880
1489,189283
1490,234512
1491,190240
1492,96785
1493,200513
1494,298865
1495,287894
1496,236223
1497,178213
1498,198023
1499,168951
1500,162298
1501,175470
1502,154861
1503,306086
1504,251200
1505,231176
1506,188437
1507,243724
1508,192019
1509,163142
1510,145321
1511,166659
1512,155713
1513,143103
1514,158432
1515,181011
1516,146427
1517,159217
1518,127136
1519,200796
1520,122767
1521,126541
1522,178052
1523,114919
1524,116298
1525,117347
1526,110006
1527,109318
1528,132523
1529,161158
1530,195994
1531,125860
1532,100785
1533,139971
1534,131527
1535,130487
1536,104750
1537,64596
1538,146249
1539,180055
1540,72349
1541,138272
1542,151485
1543,175781
1544,91937
1545,112917
1546,148020
1547,138208
1548,147790
1549,122123
1550,135952
1551,104913
1552,151991
1553,136896
1554,120579
1555,152886
1556,82745
1557,106152
1558,105806
1559,73260
1560,130673
1561,101534
1562,135896
1563,121262
1564,153128
1565,145907
1566,230767
1567,85460
1568,235657
1569,131287
1570,134755
1571,103105
1572,131196
1573,232976
1574,120029
1575,220994
1576,236330
1577,184470
1578,141553
1579,132534
1580,197466
1581,163879
1582,134814
1583,293778
1584,220881
1585,136256
1586,86615
1587,125299
1588,154111
1589,97531
1590,133097
1591,87990
1592,112798
1593,143403
1594,135335
1595,104548
1596,224184
1597,192066
1598,225070
1599,160807
1600,155329
1601,69588
1602,113117
1603,90333
1604,265078
1605,235858
1606,160407
1607,176766
1608,228411
1609,181156
1610,151594
1611,135668
1612,175117
1613,168297
1614,119045
1615,88983
1616,77975
1617,93720
1618,146345
1619,146253
1620,152921
1621,134585
1622,151457
1623,247758
1624,197161
1625,114840
1626,169260
1627,188485
1628,274909
1629,182383
1630,352588
1631,245069
1632,248391
1633,180476
1634,186679
1635,178421
1636,162124
